App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
I love you live wallpaper,"hdwallpaperthemes@gmail.com
Privacy Policy",HD Wallpaper themesPersonalization,Completely free,No Interactive Elements,"May 21, 2020","Rated for 3+
Learn More","10,000,000+","24,115 total",HD Wallpaper themes,4.2,4.2 and up,12M,14.2
"Live Wallpapers 4K, Backgrounds 3D/HD - Pixel 4D","Visit website
support@helectronsoft.com
Privacy Policy
Κυκλάδων 7 Κηφισιά",Apps and Live Wallpapers by HelectronSoftPersonalization,₹10.00 - ₹150.00 per item,In-App Purchases,"June 24, 2020","Rated for 7+
Mild Violence
Learn More","10,000,000+","181,276 total",Apps and Live Wallpapers by HelectronSoft,4.4,6.0 and up,5.5M,2.2.8
Perform-V App,"Visit website
jesper.rage@musictribe.com
Privacy Policy
#260, 4396 West Saanich Road Victoria BC V8Z 3E9 Canada",TC-Helicon Vocal TechnologiesMusic & Audio,Completely free,No Interactive Elements,"February 15, 2017","Rated for 3+
Learn More","10,000+",114 total,TC-Helicon Vocal Technologies,4.0,4.1 and up,Varies with device,Varies with device
Home Workout - No Equipment,"Visit website
northpark.android@gmail.com
Privacy Policy
152 BEACH ROAD #14-02 GATEWAY EAST, SINGAPORE",Leap Fitness GroupHealth & Fitness,"₹180.00 - ₹3,350.00 per item",No Interactive Elements,"June 2, 2020","Rated for 3+
Learn More","100,000,000+","1,102,723 total",Leap Fitness Group,4.8,4.4 and up,16M,1.0.42
J Cole Lyrics,"Visit website
hopangga@gmail.com
Privacy Policy",HopanggaEntertainment,Completely free,No Interactive Elements,"April 26, 2020","Rated for 16+
Strong Language
Learn More","1,000+",10 total,Hopangga,4.8,4.1 and up,9.2M,2.0
K-Link Commerce,"Visit website
knetmobileapp@gmail.com
Privacy Policy",PT K Link IndonesiaBusiness,Completely free,No Interactive Elements,"July 30, 2019","Rated for 3+
Learn More","10,000+",820 total,PT K Link Indonesia,4.6,4.1 and up,40M,1.7.5
BOTIM - Unblocked Video Call and Voice Call,"Visit website
feedback@botim.me
Privacy Policy
156 2nd St, San Francisco, CA 94105",Algento Cloud Computing LimitedCommunication,"₹70.00 - ₹1,700.00 per item",Users Interact,"June 8, 2020","Rated for 3+
Learn More","10,000,000+","530,253 total",Algento Cloud Computing Limited,4.3,5.0 and up,53M,2.3.4
Aaj Tak Live TV News - Latest Hindi India News App,"Visit website
indiatodayapps@gmail.com
Privacy Policy
FC-8, Sector-16A Film City, Noida, Uttar Pradesh 201301",TV Today Network LimitedNews & Magazines,Completely free,Users Interact,"February 20, 2020","Rated for 3+
Learn More","50,000,000+","193,026 total",TV Today Network Limited,3.5,4.4 and up,14M,8.42
"Amazon Shopping, UPI, Money Transfer, Bill Payment","Visit website
feedback-amazon-app-android@amazon.com
Privacy Policy
Amazon Mobile LLC 500 9th Avenue N, Seattle, WA 98109",Amazon Mobile LLCShopping,Completely free,Users Interact,"June 18, 2020","Rated for 3+
Learn More","100,000,000+","5,525,830 total",Amazon Mobile LLC,4.3,Varies with device,Varies with device,Varies with device
B COM FINANCIAL ACCOUNTING NAGPUR,"Visit website
vaibhav.menghal@gmail.com",FOCUS INFOMEDIAEducation,Completely free,No Interactive Elements,"March 1, 2019","Rated for 3+
Learn More","50,000+",173 total,FOCUS INFOMEDIA,4.1,4.0.3 and up,29M,1.4
ePathshala,"Visit website
ncertapps@gmail.com
Privacy Policy",NCERTEducation,Completely free,No Interactive Elements,"May 27, 2020","Rated for 3+
Learn More","1,000,000+","30,817 total",NCERT,4.2,4.1 and up,7.5M,2.0.9
UMANG,"Visit website
customercare@umang.gov.in
Privacy Policy","MeitY, Government Of IndiaProductivity",Completely free,Shares Info,"June 26, 2020","Rated for 3+
Learn More","10,000,000+","105,013 total","MeitY, Government Of India",4.3,4.4 and up,14M,2.0.3
e-School,"Visit website
info@patelsolutions.in
Patel Solutions, Patel Niwas-2B/47, Chitrakut Nagar, Digha, Danapur, Patna-800012",Patel SolutionsEducation,Completely free,Unrestricted Internet,"May 24, 2019","Rated for 3+
Learn More","5,000+",46 total,Patel Solutions,4.2,4.4 and up,8.0M,0.0.8
ShareChat - Made in India,"Visit website
contact@sharechat.co
Privacy Policy
Mohalla Tech Private Limited, 3rd floor, Sri Ranga Building, 2/1 Hosur Main Road, DRC Post, Bengaluru 560029",ShareChatSocial,Completely free,Users Interact,"June 26, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","1,460,327 total",ShareChat,4.4,4.1 and up,28M,emarti_11.9.4
MyGov,"Visit website
developers@mygov.in
Privacy Policy
CEO office, MyGov 3rd Floor Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi: 110003 Ministry of Communications & Information Technology (Government of India)",MyGovIndiaSocial,Completely free,Users Interact,"June 22, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000+","37,214 total",MyGovIndia,4.6,5.0 and up,7.1M,2.4.3
BHIM - MAKING INDIA CASHLESS,"Visit website
contact.bhim@npci.org.in
Privacy Policy",National Payments Corporation of India (NPCI)Finance,Completely free,No Interactive Elements,"May 18, 2020","Rated for 3+
Learn More","50,000,000+","714,386 total",National Payments Corporation of India (NPCI),4.4,5.0 and up,Varies with device,2.2
Hotstar,"Visit website
hello@hotstar.com
Privacy Policy
Star House, Urmi Estate, 95 Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013.",Novi DigitalEntertainment,Completely free,No Interactive Elements,"June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","8,216,338 total",Novi Digital,4.1,Varies with device,Varies with device,Varies with device
Swiggy Food Order & Delivery,"Visit website
android@swiggy.in
Privacy Policy",SwiggyFood & Drink,Completely free,No Interactive Elements,"June 25, 2020","Rated for 3+
Learn More","50,000,000+","1,774,865 total",Swiggy,4.2,Varies with device,Varies with device,Varies with device
R-One Health Card,"Visit website
info@roneindia.com",Rhizomatc Web ServicesHealth & Fitness,Completely free,No Interactive Elements,"February 6, 2020","Rated for 3+
Learn More",500+,8 total,Rhizomatc Web Services,4.8,4.0.3 and up,1.6M,1.0.0.3
WorkIndia Job Search App - Free HR contact direct,"Visit website
nilesh.dungarwal@workindia.in
Privacy Policy",WorkIndiaBusiness,Completely free,No Interactive Elements,"June 18, 2020","Rated for 3+
Learn More","10,000,000+","61,071 total",WorkIndia,3.8,4.1 and up,9.9M,5.4.1.7
Postinfo,"Visit website
ceptappstore@gmail.com
Privacy Policy",Centre for Excellence in Postal TechnologyCommunication,Completely free,No Interactive Elements,"April 24, 2020","Rated for 3+
Learn More","1,000,000+","72,097 total",Centre for Excellence in Postal Technology,4.2,4.1 and up,27M,3.1
C Compiler,"support@ilabbs.com
Privacy Policy",iLabbsEducation,Completely free,No Interactive Elements,"November 21, 2018","Rated for 3+
Learn More","100,000+",728 total,iLabbs,3.0,4.1 and up,6.2M,1.1.0
Purush Rog K Upchar - पुरुष गुप्त रोग के अचूक उपाय,"creativecatappsdevs@gmail.com
Privacy Policy
India",CreativeCatAppDevsHealth & Fitness,Completely free,No Interactive Elements,"October 23, 2018","Rated for 3+
Learn More","100,000+",700 total,CreativeCatAppDevs,4.2,4.0.3 and up,2.1M,1.0
FaceApp - AI Face Editor,"Visit website
support.android@faceapp.com
Privacy Policy
1000 N West Street Suite 1200 Wilmington, DE, 19801",FaceApp IncPhotography,"₹130.00 - ₹3,990.00 per item","Users Interact, Digital Purchases","June 20, 2020","Rated for 3+
Learn More","100,000,000+","2,985,221 total",FaceApp Inc,4.8,5.0 and up,20M,3.9.0
Callbreak Multiplayer,"Visit website
support@callbreak.com
Privacy Policy
Kupondole, Lalitpur Nepal",TeslatechCard,Completely free,No Interactive Elements,"March 28, 2020","Rated for 3+
Learn More","50,000,000+","248,965 total",Teslatech,4.1,Varies with device,Varies with device,Varies with device
Crowd City,"Visit website
support@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris",VOODOOArcade,₹55.00 - ₹280.00 per item,In-Game Purchases,"June 23, 2020","Rated for 3+
Learn More","100,000,000+","1,317,474 total",VOODOO,4.1,4.4 and up,80M,1.7.3
OS 12 X Launcher - Control Center & Style Theme,"Visit website
product.pusher2019@gmail.com
Privacy Policy",Product PusherTools,Completely free,No Interactive Elements,"November 22, 2019","Rated for 3+
Learn More","100,000+",253 total,Product Pusher,3.5,4.1 and up,13M,1.2
112 Where ARE U,"Visit website
where@areu.lombardia.it
Privacy Policy",AREUHealth & Fitness,Completely free,No Interactive Elements,"November 5, 2019","Rated for 3+
Learn More","1,000,000+","4,601 total",AREU,4.5,4.4 and up,19M,3.0.1.0
AirFighters,"Visit website
support@rortos.com
Privacy Policy
Via del Pontiere 11 37122 Verona VR Italy",RORTOSSimulation,"₹320.00 - ₹1,600.00 per item","Users Interact, Digital Purchases","March 16, 2020","Rated for 7+
Implied Violence
Learn More","10,000,000+","132,655 total",RORTOS,3.9,5.0 and up,45M,4.2.1
F18 Carrier Landing Lite,"Visit website
support@rortos.com
Privacy Policy
Via del Pontiere 11 37122 Verona VR Italy",RORTOSSimulation,₹240.00 - ₹890.00 per item,Digital Purchases,"March 5, 2020","Rated for 3+
Learn More","10,000,000+","123,265 total",RORTOS,4.3,5.0 and up,39M,7.5.2
X Browser Proxy Unblock Websites,"itechmobilestudio@hotmail.com
Privacy Policy",iTech MobileTools,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More","100,000+","1,679 total",iTech Mobile,3.8,4.1 and up,7.5M,16.0
Casino X - Free Online Slots,"Visit website
support@itemboxapps.com
Privacy Policy
200 - 1132 Alberni Street Vancouver, British Columbia V6E 1A5 Canada",Item Box AppsCasino,"₹120.00 - ₹7,900.00 per item","Users Interact, Digital Purchases","August 2, 2019","Rated for 12+
Gambling
Learn More","1,000,000+","31,408 total",Item Box Apps,4.5,4.0.3 and up,Varies with device,2.95
J Balvin Wallpapers,"egd@stcisthegreatest.club
Privacy Policy",WAF WallpapersPersonalization,Completely free,No Interactive Elements,"June 3, 2019","Rated for 12+
Sex, Mild Swearing
Learn More","1,000+",182 total,WAF Wallpapers,4.3,4.2 and up,6.3M,1.0
J:COMオンデマンド - プロ野球ライブ見るならJ:COMで,"Visit website
appli.development@gmail.com
Privacy Policy
東京都千代田区丸の内1-8-1",株式会社ジュピターテレコムEntertainment,Completely free,Digital Purchases,"February 27, 2020","Rated for 3+
Learn More","1,000,000+","1,661 total",株式会社ジュピターテレコム,2.9,4.2 and up,20M,6.9.4
K-ASSIST,"Visit website
kassist@kobelconet.com
Privacy Policy","KOBELCO CONSTRUCTION MACHINERY CO., LTD.Business",Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","1,000+",37 total,"KOBELCO CONSTRUCTION MACHINERY CO., LTD.",4.3,4.4 and up,31M,1.0.20
Q,"Visit website
liica_q@liica.co.jp
Privacy Policy
東京都新宿区西新宿2-7-1　小田急第一生命ビル22F",liica Inc.Puzzle,"₹60.00 - ₹1,000.00 per item",Digital Purchases,"November 6, 2019","Rated for 3+
Learn More","1,000,000+","69,322 total",liica Inc.,3.9,4.1 and up,68M,2.10.8
TVWeb Browser for TV,"Visit website
info@rarity.co.jp
Privacy Policy
Tokyo/Japan",Rarity Co. Ltd.Tools,Completely free,Unrestricted Internet,"September 18, 2019","Rated for 3+
Learn More","1,000,000+",671 total,Rarity Co. Ltd.,3.4,5.0 and up,3.3M,1.4.2
R-07 Remote,"Visit website
app.Android@roland.com
Privacy Policy
2036-1 Nakagawa, Hosoe-cho, Kita-ku, Hamamatsu, Shizuoka 431-1304, Japan",Roland CorporationMusic & Audio,Completely free,No Interactive Elements,"March 28, 2019","Rated for 3+
Learn More","5,000+",47 total,Roland Corporation,2.3,5.0 and up,4.3M,1.1.2(15)
Club J.LEAGUE,"Visit website
japp-contact@club.jleague.jp
Privacy Policy",JリーグSports,Completely free,Shares Info,"June 26, 2020","Rated for 3+
Learn More","100,000+","5,550 total",Jリーグ,4.1,5.0 and up,46M,1.4.7
LINE: Free Calls & Messages,"Visit website
line-support@line.me
Privacy Policy
東京都新宿区新宿四丁目1番6号",LINE CorporationCommunication,"₹60.00 - ₹13,000.00 per item","Users Interact, Shares Location, Digital Purchases","June 18, 2020","Rated for 3+
Learn More","500,000,000+","12,232,123 total",LINE Corporation,4.1,Varies with device,Varies with device,Varies with device
ibis Paint X,"Visit website
mob-paint-support@ibis.ne.jp
Privacy Policy
Nakamo bldg.4F 3-17-34 Meieki, Nakamura-ku, Nagoya, Aichi 450-0002, Japan 〒450 – 0002 名古屋市中村区名駅3丁目17番34号　ナカモビル4階",ibis inc.Art & Design,₹220.00 - ₹690.00 per item,Users Interact,"June 25, 2020","Rated for 3+
Learn More","50,000,000+","836,221 total",ibis inc.,4.5,4.1 and up,25M,7.0.0
SPEED L,"Visit website
woojjae79@abits.co.kr
Privacy Policy
469 Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TP. Hồ Chí Minh, Việt Nam",LOTTE Mart VietnamShopping,Completely free,No Interactive Elements,"June 20, 2020","Rated for 3+
Learn More","100,000+",414 total,LOTTE Mart Vietnam,3.6,4.4 and up,5.8M,1.39
S Video Player,"Visit website
erin.park24@gmail.com
Privacy Policy",park Ave.Video Players & Editors,Completely free,No Interactive Elements,"May 28, 2020","Rated for 3+
Learn More","1,000,000+","1,721 total",park Ave.,3.9,4.1 and up,10M,1.4.7
KBS my K,"Visit website
mobile@kbsmedia.co.kr
Privacy Policy",KBSEntertainment,Completely free,No Interactive Elements,"June 23, 2020","Rated for 3+
Learn More","5,000,000+","23,463 total",KBS,4.2,4.4 and up,16M,5.1.6
Q-Store,aibolat.kulatay@gmail.com,Thousand IT GroupEntertainment,Completely free,No Interactive Elements,"May 11, 2017","Rated for 3+
Learn More","1,000+",0,Thousand IT Group,-1,4.2 and up,3.6M,1.01
"U Launcher 2019 - Icon Pack, Wallpapers, Themes","launcher.team.contact@gmail.com
Privacy Policy
Santa Clara 46 20720 Azkoitia Spain",SHANKS TEAMPersonalization,"₹90.00 - ₹1,100.00 per item",No Interactive Elements,"September 25, 2019","Rated for 3+
Learn More","10,000+",22 total,SHANKS TEAM,3.5,4.2 and up,6.5M,5.0.0
x launcher ios 12 - ilauncher icon pack & themes,"launcher.team.contact@gmail.com
Privacy Policy
Santa Clara 46 20720 Azkoitia Spain",SHANKS TEAMPersonalization,"₹90.00 - ₹1,100.00 per item",No Interactive Elements,"September 25, 2019","Rated for 3+
Learn More","100,000+",352 total,SHANKS TEAM,3.4,4.2 and up,6.5M,5.0.0
"Super P Launcher for P 9.0 launcher, theme","Visit website
contactwangwei@gmail.com
Privacy Policy
No.1068 HuaJing City, GZ",Super Launcher SerieTools,"₹360.00 - ₹1,150.00 per item",No Interactive Elements,"June 16, 2020","Rated for 3+
Learn More","1,000,000+","23,844 total",Super Launcher Serie,4.4,4.0 and up,8.4M,6.5
U+Box,"Visit website
uplusbox@lguplus.co.kr
Privacy Policy
서울시 용산구 한강대로 32 (주)LG유플러스",LG유플러스(LG Uplus Corporation)Productivity,Completely free,No Interactive Elements,"November 28, 2019","Rated for 3+
Learn More","10,000,000+","28,560 total",LG유플러스(LG Uplus Corporation),4.0,5.0 and up,19M,4.2.30
The Q - Live Game Network,"Visit website
contactus@theq.live
Privacy Policy
Stream Live, Inc. 1000 Johnnie Dodds Blvd Ste. 103-358 Mount Pleasant, SC 29464 United States",The QTrivia,"₹430.00 - ₹1,300.00 per item",Users Interact,"April 1, 2020","Rated for 3+
Learn More","100,000+","1,924 total",The Q,2.6,5.0 and up,13M,4.1.0
Theme for Moto Z Play,"Visit website
salaarkhan912@gmail.com
Privacy Policy",Lumos MaximaaPersonalization,Completely free,Users Interact,"October 25, 2018","Rated for 3+
Learn More","50,000+",168 total,Lumos Maximaa,4.1,4.0 and up,5.6M,1.0.1
Cellular-Z,"heiljersey@gmail.com
Privacy Policy",JerseyHoTools,Completely free,No Interactive Elements,"October 29, 2019","Rated for 3+
Learn More","100,000+","1,061 total",JerseyHo,4.2,4.1 and up,13M,5.3
World Chess Championship,"Visit website
help@manastone.com
Privacy Policy
서울특별시 강남구 봉은사로 71길 29 203호 06096 (주)마나스톤",MANASTONEBoard,"₹10.00 - ₹5,726.49 per item","Users Interact, In-Game Purchases","April 24, 2020","Rated for 3+
Learn More","5,000,000+","95,583 total",MANASTONE,4.3,4.4 and up,19M,2.09.02
"Learn C Programming ,C Tutorial,C Interview,C MCQ","jayeshdhanesha@gmail.com
Privacy Policy",Jayesh DhaneshaEducation,Completely free,No Interactive Elements,"April 8, 2020","Rated for 3+
Learn More","10,000+",293 total,Jayesh Dhanesha,4.5,4.1 and up,8.5M,3.2
N Lock Screen - Double Tap Sleep for N Launcher,"craftappteam@gmail.com
Privacy Policy
Building A9-301, Optical Valley Software Park, Guanshan Road, Hongshan District, Wuhan, 430000, China",CraftsApp TeamTools,Completely free,No Interactive Elements,"September 28, 2018","Rated for 3+
Learn More","100,000+",338 total,CraftsApp Team,3.8,4.0 and up,81k,1.2
H Clicker,daniel.norhoj@gmail.com,dnorhojCasual,Completely free,No Interactive Elements,"January 21, 2020","Rated for 3+
Learn More",100+,29 total,dnorhoj,4.7,4.1 and up,5.3M,1.2.0
Entri:PSC SSC RRB IBPS Spoken English Learning App,"Visit website
support@entri.me
Privacy Policy
Entri HQ, T H Mohammed Road, Padamughal, Kakkanad, 682032, Cochin, Kerala, India.",EntriEducation,"₹10.00 - ₹10,000.00 per item","Users Interact, In-App Purchases","June 26, 2020","Rated for 3+
Learn More","1,000,000+","24,725 total",Entri,4.6,4.4 and up,17M,1.76.24
ZEPETO,"Visit website
support@zepeto.me
Privacy Policy
8F, 117, Bundangnaegok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",Naver Z CorporationEntertainment,"₹60.00 - ₹7,500.00 per item",Users Interact,"June 26, 2020","Rated for 3+
Learn More","10,000,000+","561,560 total",Naver Z Corporation,3.5,5.1 and up,92M,2.23.1
M Editor : Magic Effect & Lyrical Video Maker,"divyesdesai83@gmail.com
Privacy Policy",M Video EditorVideo Players & Editors,Completely free,Users Interact,"January 2, 2020","Rated for 3+
Learn More","10,000+",94 total,M Video Editor,3.9,4.4 and up,25M,1.2
MEGA,"Visit website
android@mega.nz
Privacy Policy
Physical Address: Level 21 Huawei Centre, 120 Albert St Auckland 1010 New Zealand Mail Address: Private Bag 92 533 Wellesley St Auckland 1141 New Zealand",Mega LtdProductivity,"₹330.96 - ₹19,884.20 per item","Users Interact, Digital Purchases","June 24, 2020","Rated for 3+
Learn More","50,000,000+","715,016 total",Mega Ltd,3.8,Varies with device,Varies with device,Varies with device
